candidate_number,split,selection_group,video_id,video_path,rep_index,start_frame,bottom_frame,end_frame,rep_row_count,model_score,camera_shoulder_median,camera_hip_median,motion_clip,review_label,review_confidence,review_notes
81,train,clear_like,47645_5,/Users/josephkamil/Desktop/Capstone/videos/videos/47645_5.mp4,0,12,54,78,11,0.2309094738463956,0.1938806176185608,0.15681469440460205,ml/analysis_quality/fitness_aqa_squat/forward_lean_review/batch_08_motion/candidate_81_motion.mp4,clear,medium,Torso stays stable through bottom and ascent without obvious chest collapse.
82,train,clear_like,49066_5,/Users/josephkamil/Desktop/Capstone/videos/videos/49066_5.mp4,0,18,60,84,10,0.30102315208638686,0.1728535294532776,0.12068840861320496,ml/analysis_quality/fitness_aqa_squat/forward_lean_review/batch_08_motion/candidate_82_motion.mp4,clear,medium,"Natural forward inclination, but hips and chest appear to rise together."
83,train,clear_like,49363_1,/Users/josephkamil/Desktop/Capstone/videos/videos/49363_1.mp4,0,6,48,72,9,0.32668651361392276,0.3222093880176544,0.18381717801094055,ml/analysis_quality/fitness_aqa_squat/forward_lean_review/batch_08_motion/candidate_83_motion.mp4,clear,medium,Torso position looks controlled and consistent through the rep.
84,train,clear_like,37682_2,/Users/josephkamil/Desktop/Capstone/videos/videos/37682_2.mp4,0,12,36,60,9,0.3285304774250503,0.2666964530944824,0.18497738242149353,ml/analysis_quality/fitness_aqa_squat/forward_lean_review/batch_08_motion/candidate_84_motion.mp4,clear,medium,No obvious additional forward collapse from bottom into ascent.
85,train,clear_like,47969_5,/Users/josephkamil/Desktop/Capstone/videos/videos/47969_5.mp4,0,42,90,192,26,0.3293245035300217,0.17745637893676758,0.12417413294315338,ml/analysis_quality/fitness_aqa_squat/forward_lean_review/batch_08_motion/candidate_85_motion.mp4,clear,medium,"Torso remains comparatively stable, though the subject is somewhat distant."
86,train,boundary,48361_1,/Users/josephkamil/Desktop/Capstone/videos/videos/48361_1.mp4,0,30,72,108,14,0.4999331864953362,0.5770213007926941,0.36169832944869995,ml/analysis_quality/fitness_aqa_squat/forward_lean_review/batch_08_motion/candidate_86_motion.mp4,clear,medium,Torso angle is inclined but appears consistent through ascent.
87,train,boundary,49205_1,/Users/josephkamil/Desktop/Capstone/videos/videos/49205_1.mp4,0,18,42,102,15,0.49947431054266306,0.4842827022075653,0.23068173229694366,ml/analysis_quality/fitness_aqa_squat/forward_lean_review/batch_08_motion/candidate_87_motion.mp4,clear,medium,No clear dynamic chest-drop pattern is visible in the sampled frames.
88,train,boundary,36613_2,/Users/josephkamil/Desktop/Capstone/videos/videos/36613_2.mp4,0,12,42,72,11,0.5005425508752975,0.5174717307090759,0.3317456841468811,ml/analysis_quality/fitness_aqa_squat/forward_lean_review/batch_08_motion/candidate_88_motion.mp4,clear,medium,Torso stays relatively upright and controlled.
89,train,boundary,36669_2,/Users/josephkamil/Desktop/Capstone/videos/videos/36669_2.mp4,0,12,48,96,15,0.4994399108987859,0.4926503002643585,0.327913761138916,ml/analysis_quality/fitness_aqa_squat/forward_lean_review/batch_08_motion/candidate_89_motion.mp4,clear,medium,Stable torso position with no obvious excessive forward shift.
90,train,boundary,46779_4,/Users/josephkamil/Desktop/Capstone/videos/videos/46779_4.mp4,0,0,30,72,13,0.4994396428924612,0.5896711945533752,0.3669450581073761,ml/analysis_quality/fitness_aqa_squat/forward_lean_review/batch_08_motion/candidate_90_motion.mp4,excessive_forward_lean,medium,Torso is strongly pitched forward at bottom and remains forward during ascent.
91,train,high_score,49724_2,/Users/josephkamil/Desktop/Capstone/videos/videos/49724_2.mp4,0,6,60,120,18,0.8347832953335087,0.5016940236091614,0.37837207317352295,ml/analysis_quality/fitness_aqa_squat/forward_lean_review/batch_08_motion/candidate_91_motion.mp4,unusable,high,Detected interval does not show a normal completed squat rep.
92,train,high_score,48917_4,/Users/josephkamil/Desktop/Capstone/videos/videos/48917_4.mp4,0,6,60,96,16,0.7862608579245363,0.5531393885612488,0.32027533650398254,ml/analysis_quality/fitness_aqa_squat/forward_lean_review/batch_08_motion/candidate_92_motion.mp4,excessive_forward_lean,high,Strong forward torso pitch persists from descent through ascent.
