video_id,video_path,target,label,split,window_start_seconds,window_end_seconds,source_interval_index,sampling_type,error
62830_1,/Users/josephkamil/Desktop/Capstone/videos-OHP/videos/62830_1.mp4,knee_error,0,train,1.4023,2.9023,,clean_video_negative,insufficient_pose_frames
62866_3,/Users/josephkamil/Desktop/Capstone/videos-OHP/videos/62866_3.mp4,elbow_error,1,train,0.0,1.5,1,annotated_positive,insufficient_pose_frames
62866_3,/Users/josephkamil/Desktop/Capstone/videos-OHP/videos/62866_3.mp4,knee_error,0,train,0.5869,2.0869,,clean_video_negative,insufficient_pose_frames
62992_5,/Users/josephkamil/Desktop/Capstone/videos-OHP/videos/62992_5.mp4,elbow_error,1,train,0.52,2.02,1,annotated_positive,insufficient_pose_frames
62992_5,/Users/josephkamil/Desktop/Capstone/videos-OHP/videos/62992_5.mp4,knee_error,0,train,1.0548,2.5548,,clean_video_negative,insufficient_pose_frames
63469_2,/Users/josephkamil/Desktop/Capstone/videos-OHP/videos/63469_2.mp4,elbow_error,0,train,1.6249,3.1249,,clean_video_negative,insufficient_pose_frames
63469_2,/Users/josephkamil/Desktop/Capstone/videos-OHP/videos/63469_2.mp4,knee_error,0,train,2.424,3.924,,clean_video_negative,insufficient_pose_frames
64330_2,/Users/josephkamil/Desktop/Capstone/videos-OHP/videos/64330_2.mp4,knee_error,1,test,0.0,1.5,1,annotated_positive,insufficient_pose_frames
64386_3,/Users/josephkamil/Desktop/Capstone/videos-OHP/videos/64386_3.mp4,elbow_error,1,train,1.585,3.085,2,annotated_positive,insufficient_pose_frames
65301_2,/Users/josephkamil/Desktop/Capstone/videos-OHP/videos/65301_2.mp4,knee_error,0,train,2.799,4.299,,clean_video_negative,insufficient_pose_frames
65616_2,/Users/josephkamil/Desktop/Capstone/videos-OHP/videos/65616_2.mp4,knee_error,0,train,10.017,11.517,,clean_video_negative,insufficient_pose_frames
66693_1,/Users/josephkamil/Desktop/Capstone/videos-OHP/videos/66693_1.mp4,elbow_error,0,val,5.8423,7.3423,,clean_video_negative,insufficient_pose_frames
66899_1,/Users/josephkamil/Desktop/Capstone/videos-OHP/videos/66899_1.mp4,elbow_error,1,train,0.0,1.5,1,annotated_positive,insufficient_pose_frames
67130_6,/Users/josephkamil/Desktop/Capstone/videos-OHP/videos/67130_6.mp4,elbow_error,0,train,0.0344,1.5344,,clean_video_negative,insufficient_pose_frames
67394_6,/Users/josephkamil/Desktop/Capstone/videos-OHP/videos/67394_6.mp4,elbow_error,1,val,1.18,2.68,2,annotated_positive,insufficient_pose_frames
67504_1,/Users/josephkamil/Desktop/Capstone/videos-OHP/videos/67504_1.mp4,knee_error,1,train,0.0,1.5,1,annotated_positive,insufficient_pose_frames
68251_5,/Users/josephkamil/Desktop/Capstone/videos-OHP/videos/68251_5.mp4,knee_error,1,train,2.455,3.955,2,annotated_positive,insufficient_pose_frames
68572_2,/Users/josephkamil/Desktop/Capstone/videos-OHP/videos/68572_2.mp4,elbow_error,0,train,0.4989,1.9989,,clean_video_negative,insufficient_pose_frames
68572_2,/Users/josephkamil/Desktop/Capstone/videos-OHP/videos/68572_2.mp4,knee_error,0,train,0.3718,1.8718,,clean_video_negative,insufficient_pose_frames
