label,name,size,copies,labels_in_group,parent,path
unknown,Back Squat- knee valgus.mov,53707563,2,"squat_back,unknown",Capstone,/Users/josephkamil/Desktop/Capstone/Back Squat- knee valgus.mov
squat_back,Back Squat- knee valgus.mov,53707563,2,"squat_back,unknown",squat_back,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/squat_back/Back Squat- knee valgus.mov
unknown,squat_20.mp4,5869719,2,"squat_back,unknown",Capstone,/Users/josephkamil/Desktop/Capstone/squat_20.mp4
squat_back,squat_20.mp4,5869719,2,"squat_back,unknown",squat_back,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/squat_back/squat_20.mp4
unknown,Front Squat- Depth.mov,59034108,2,"squat_front,unknown",Capstone,/Users/josephkamil/Desktop/Capstone/Front Squat- Depth.mov
squat_front,Front Squat- Depth.mov,59034108,2,"squat_front,unknown",squat_front,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/squat_front/Front Squat- Depth.mov
unknown,squat_15.mp4,6881795,3,"squat_back,unknown",Capstone,/Users/josephkamil/Desktop/Capstone/squat_15.mp4
unknown,squat_15.mp4,6881795,3,"squat_back,unknown",squat_keep,/Users/josephkamil/Desktop/Capstone/squat_keep/squat_15.mp4
squat_back,squat_15.mp4,6881795,3,"squat_back,unknown",squat_back,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/squat_back/squat_15.mp4
unknown,Front squats- butt wink .mov,47260543,2,"squat_front,unknown",Capstone,/Users/josephkamil/Desktop/Capstone/Front squats- butt wink .mov
squat_front,Front squats- butt wink .mov,47260543,2,"squat_front,unknown",squat_front,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/squat_front/Front squats- butt wink .mov
unknown,squat_12.mp4,3291481,3,"squat_back,unknown",Capstone,/Users/josephkamil/Desktop/Capstone/squat_12.mp4
unknown,squat_12.mp4,3291481,3,"squat_back,unknown",squat_keep,/Users/josephkamil/Desktop/Capstone/squat_keep/squat_12.mp4
squat_back,squat_12.mp4,3291481,3,"squat_back,unknown",squat_back,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/squat_back/squat_12.mp4
unknown,Front squats- bar drift.mov,49081646,2,"squat_front,unknown",Capstone,/Users/josephkamil/Desktop/Capstone/Front squats- bar drift.mov
squat_front,Front squats- bar drift.mov,49081646,2,"squat_front,unknown",squat_front,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/squat_front/Front squats- bar drift.mov
unknown,squat_11.mp4,4172352,3,"squat_back,unknown",Capstone,/Users/josephkamil/Desktop/Capstone/squat_11.mp4
unknown,squat_11.mp4,4172352,3,"squat_back,unknown",squat_keep,/Users/josephkamil/Desktop/Capstone/squat_keep/squat_11.mp4
squat_back,squat_11.mp4,4172352,3,"squat_back,unknown",squat_back,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/squat_back/squat_11.mp4
unknown,Front squat- elbow drop.mov,56408274,2,"squat_front,unknown",Capstone,/Users/josephkamil/Desktop/Capstone/Front squat- elbow drop.mov
