label,name,size,copies,labels_in_group,parent,path
snatch,snatch- correct.mov,70444467,2,snatch,Capstone,/Users/josephkamil/Desktop/Capstone/snatch- correct.mov
snatch,snatch- correct.mov,70444467,2,snatch,real_snatch,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/real_snatch/snatch- correct.mov
clean,clean-correct.mov,44157165,3,clean,Capstone,/Users/josephkamil/Desktop/Capstone/clean-correct.mov
clean,clean-correct.mov,44157165,3,clean,clean,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean/clean-correct.mov
clean,clean-correct.mov,44157165,3,clean,real_clean,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/real_clean/clean-correct.mov
overhead_squat,OverheadSquats- correct3.mov,98915811,3,overhead_squat,Capstone,/Users/josephkamil/Desktop/Capstone/OverheadSquats- correct3.mov
overhead_squat,OverheadSquats- correct3.mov,98915811,3,overhead_squat,overhead_squat,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/overhead_squat/OverheadSquats- correct3.mov
overhead_squat,OverheadSquats- correct3.mov,98915811,3,overhead_squat,correct,/Users/josephkamil/Desktop/Capstone/data/raw/overhead_squat/correct/OverheadSquats- correct3.mov
push_press,Push Press- Head Clearance .mov,56708525,2,push_press,Capstone,/Users/josephkamil/Desktop/Capstone/Push Press- Head Clearance .mov
push_press,Push Press- Head Clearance .mov,56708525,2,push_press,push_press,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/push_press/Push Press- Head Clearance .mov
push_press,Push press- knee cave.mov,43641110,2,push_press,Capstone,/Users/josephkamil/Desktop/Capstone/Push press- knee cave.mov
push_press,Push press- knee cave.mov,43641110,2,push_press,push_press,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/push_press/Push press- knee cave.mov
unknown,squat_8.mp4,2998318,2,unknown,Capstone,/Users/josephkamil/Desktop/Capstone/squat_8.mp4
unknown,squat_8.mp4,2998318,2,unknown,squat_keep,/Users/josephkamil/Desktop/Capstone/squat_keep/squat_8.mp4
unknown,Back Squat- knee valgus.mov,53707563,2,"squat_back,unknown",Capstone,/Users/josephkamil/Desktop/Capstone/Back Squat- knee valgus.mov
squat_back,Back Squat- knee valgus.mov,53707563,2,"squat_back,unknown",squat_back,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/squat_back/Back Squat- knee valgus.mov
bench_press,Bench press- bar path.mov,55461752,2,bench_press,Capstone,/Users/josephkamil/Desktop/Capstone/Bench press- bar path.mov
bench_press,Bench press- bar path.mov,55461752,2,bench_press,bench_press,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/bench_press/Bench press- bar path.mov
push_press,Push press- elbows drop.mov,40179139,2,push_press,Capstone,/Users/josephkamil/Desktop/Capstone/Push press- elbows drop.mov
push_press,Push press- elbows drop.mov,40179139,2,push_press,push_press,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/push_press/Push press- elbows drop.mov
unknown,squat_20.mp4,5869719,2,"squat_back,unknown",Capstone,/Users/josephkamil/Desktop/Capstone/squat_20.mp4
squat_back,squat_20.mp4,5869719,2,"squat_back,unknown",squat_back,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/squat_back/squat_20.mp4
deadlift,Deadlift- bar drift.mov,53545831,2,deadlift,Capstone,/Users/josephkamil/Desktop/Capstone/Deadlift- bar drift.mov
deadlift,Deadlift- bar drift.mov,53545831,2,deadlift,deadlift,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/deadlift/Deadlift- bar drift.mov
unknown,Front Squat- Depth.mov,59034108,2,"squat_front,unknown",Capstone,/Users/josephkamil/Desktop/Capstone/Front Squat- Depth.mov
squat_front,Front Squat- Depth.mov,59034108,2,"squat_front,unknown",squat_front,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/squat_front/Front Squat- Depth.mov
overhead_squat,OverheadSquat- correct5.mov,100334261,2,overhead_squat,Capstone,/Users/josephkamil/Desktop/Capstone/OverheadSquat- correct5.mov
overhead_squat,OverheadSquat- correct5.mov,100334261,2,overhead_squat,overhead_squat,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/overhead_squat/OverheadSquat- correct5.mov
bench_press,Bench press- head lift.mov,50749482,2,bench_press,Capstone,/Users/josephkamil/Desktop/Capstone/Bench press- head lift.mov
bench_press,Bench press- head lift.mov,50749482,2,bench_press,bench_press,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/bench_press/Bench press- head lift.mov
overhead_squat,OverheadSquat- correct4.mov,92644624,2,overhead_squat,Capstone,/Users/josephkamil/Desktop/Capstone/OverheadSquat- correct4.mov
overhead_squat,OverheadSquat- correct4.mov,92644624,2,overhead_squat,overhead_squat,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/overhead_squat/OverheadSquat- correct4.mov
bench_press,Bench press- elbow flare.mov,50537311,2,bench_press,Capstone,/Users/josephkamil/Desktop/Capstone/Bench press- elbow flare.mov
bench_press,Bench press- elbow flare.mov,50537311,2,bench_press,bench_press,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/bench_press/Bench press- elbow flare.mov
unknown,squat_15.mp4,6881795,3,"squat_back,unknown",Capstone,/Users/josephkamil/Desktop/Capstone/squat_15.mp4
unknown,squat_15.mp4,6881795,3,"squat_back,unknown",squat_keep,/Users/josephkamil/Desktop/Capstone/squat_keep/squat_15.mp4
squat_back,squat_15.mp4,6881795,3,"squat_back,unknown",squat_back,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/squat_back/squat_15.mp4
unknown,squat_29.mp4,1639227,2,unknown,Capstone,/Users/josephkamil/Desktop/Capstone/squat_29.mp4
unknown,squat_29.mp4,1639227,2,unknown,squat_keep,/Users/josephkamil/Desktop/Capstone/squat_keep/squat_29.mp4
unknown,Front squats- butt wink .mov,47260543,2,"squat_front,unknown",Capstone,/Users/josephkamil/Desktop/Capstone/Front squats- butt wink .mov
squat_front,Front squats- butt wink .mov,47260543,2,"squat_front,unknown",squat_front,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/squat_front/Front squats- butt wink .mov
deadlift,Deadlift - bad back.mov,42742092,2,deadlift,Capstone,/Users/josephkamil/Desktop/Capstone/Deadlift - bad back.mov
