keep,label,canonical,duplicate,trusted
,snatch,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/real_snatch/snatch- correct.mov,/Users/josephkamil/Desktop/Capstone/snatch- correct.mov,False
YES,snatch,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/real_snatch/snatch- correct.mov,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/real_snatch/snatch- correct.mov,True
,clean,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean/clean-correct.mov,/Users/josephkamil/Desktop/Capstone/clean-correct.mov,False
YES,clean,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean/clean-correct.mov,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean/clean-correct.mov,True
,clean,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean/clean-correct.mov,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/real_clean/clean-correct.mov,True
,overhead_squat,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/overhead_squat/OverheadSquats- correct3.mov,/Users/josephkamil/Desktop/Capstone/OverheadSquats- correct3.mov,False
YES,overhead_squat,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/overhead_squat/OverheadSquats- correct3.mov,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/overhead_squat/OverheadSquats- correct3.mov,True
,overhead_squat,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/overhead_squat/OverheadSquats- correct3.mov,/Users/josephkamil/Desktop/Capstone/data/raw/overhead_squat/correct/OverheadSquats- correct3.mov,False
,push_press,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/push_press/Push Press- Head Clearance .mov,/Users/josephkamil/Desktop/Capstone/Push Press- Head Clearance .mov,False
YES,push_press,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/push_press/Push Press- Head Clearance .mov,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/push_press/Push Press- Head Clearance .mov,True
,push_press,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/push_press/Push press- knee cave.mov,/Users/josephkamil/Desktop/Capstone/Push press- knee cave.mov,False
YES,push_press,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/push_press/Push press- knee cave.mov,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/push_press/Push press- knee cave.mov,True
YES,unknown,/Users/josephkamil/Desktop/Capstone/squat_8.mp4,/Users/josephkamil/Desktop/Capstone/squat_8.mp4,False
,unknown,/Users/josephkamil/Desktop/Capstone/squat_8.mp4,/Users/josephkamil/Desktop/Capstone/squat_keep/squat_8.mp4,False
,unknown,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/squat_back/Back Squat- knee valgus.mov,/Users/josephkamil/Desktop/Capstone/Back Squat- knee valgus.mov,False
YES,squat_back,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/squat_back/Back Squat- knee valgus.mov,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/squat_back/Back Squat- knee valgus.mov,True
,bench_press,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/bench_press/Bench press- bar path.mov,/Users/josephkamil/Desktop/Capstone/Bench press- bar path.mov,False
YES,bench_press,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/bench_press/Bench press- bar path.mov,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/bench_press/Bench press- bar path.mov,True
,push_press,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/push_press/Push press- elbows drop.mov,/Users/josephkamil/Desktop/Capstone/Push press- elbows drop.mov,False
YES,push_press,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/push_press/Push press- elbows drop.mov,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/push_press/Push press- elbows drop.mov,True
,unknown,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/squat_back/squat_20.mp4,/Users/josephkamil/Desktop/Capstone/squat_20.mp4,False
