label,labels_in_group,name,size,parent,trusted,path
push_press,"push_press,strict_press",shoulder press_9.mp4,7599356,push_press,True,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/push_press/shoulder press_9.mp4
strict_press,"push_press,strict_press",shoulder press_9.mp4,7599356,strict_press,True,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/strict_press/shoulder press_9.mp4
push_press,"push_press,strict_press",shoulder press_8.mp4,3580142,push_press,True,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/push_press/shoulder press_8.mp4
strict_press,"push_press,strict_press",shoulder press_8.mp4,3580142,strict_press,True,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/strict_press/shoulder press_8.mp4
push_press,"push_press,strict_press",17496a37-c1f7-4105-9c07-e7cfbca06106.mp4,591381,push_press,True,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/push_press/17496a37-c1f7-4105-9c07-e7cfbca06106.mp4
strict_press,"push_press,strict_press",17496a37-c1f7-4105-9c07-e7cfbca06106.mp4,591381,strict_press,True,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/strict_press/17496a37-c1f7-4105-9c07-e7cfbca06106.mp4
push_press,"push_press,strict_press",shoulder press_23.mp4,1338571,push_press,True,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/push_press/shoulder press_23.mp4
strict_press,"push_press,strict_press",shoulder press_23.mp4,1338571,strict_press,True,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/strict_press/shoulder press_23.mp4
push_press,"push_press,strict_press",shoulder press_22.mp4,607691,push_press,True,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/push_press/shoulder press_22.mp4
strict_press,"push_press,strict_press",shoulder press_22.mp4,607691,strict_press,True,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/strict_press/shoulder press_22.mp4
push_press,"push_press,strict_press",b066cbc1-931a-4af5-b668-36e98e7091b6.mp4,7257779,push_press,True,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/push_press/b066cbc1-931a-4af5-b668-36e98e7091b6.mp4
strict_press,"push_press,strict_press",b066cbc1-931a-4af5-b668-36e98e7091b6.mp4,7257779,strict_press,True,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/strict_press/b066cbc1-931a-4af5-b668-36e98e7091b6.mp4
push_press,"push_press,strict_press",b8a72e6b-f7ad-406a-9aa5-a3df903ec40e.mp4,3736972,push_press,True,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/push_press/b8a72e6b-f7ad-406a-9aa5-a3df903ec40e.mp4
strict_press,"push_press,strict_press",b8a72e6b-f7ad-406a-9aa5-a3df903ec40e.mp4,3736972,strict_press,True,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/strict_press/b8a72e6b-f7ad-406a-9aa5-a3df903ec40e.mp4
push_press,"push_press,strict_press",555859e7-8a16-4494-8dca-dff27cbdd9c8.mp4,2249523,push_press,True,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/push_press/555859e7-8a16-4494-8dca-dff27cbdd9c8.mp4
strict_press,"push_press,strict_press",555859e7-8a16-4494-8dca-dff27cbdd9c8.mp4,2249523,strict_press,True,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/strict_press/555859e7-8a16-4494-8dca-dff27cbdd9c8.mp4
push_press,"push_press,strict_press",shoulder press_25.mp4,725697,push_press,True,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/push_press/shoulder press_25.mp4
strict_press,"push_press,strict_press",shoulder press_25.mp4,725697,strict_press,True,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/strict_press/shoulder press_25.mp4
push_press,"push_press,strict_press",shoulder press_18.mp4,725697,push_press,True,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/push_press/shoulder press_18.mp4
strict_press,"push_press,strict_press",shoulder press_18.mp4,725697,strict_press,True,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/strict_press/shoulder press_18.mp4
push_press,"push_press,strict_press",shoulder press_24.mp4,3252732,push_press,True,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/push_press/shoulder press_24.mp4
strict_press,"push_press,strict_press",shoulder press_24.mp4,3252732,strict_press,True,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/strict_press/shoulder press_24.mp4
push_press,"push_press,strict_press",shoulder press_20.MOV,65393361,push_press,True,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/push_press/shoulder press_20.MOV
strict_press,"push_press,strict_press",shoulder press_20.MOV,65393361,strict_press,True,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/strict_press/shoulder press_20.MOV
push_press,"push_press,strict_press",fc319e88-4be0-467e-9dfd-cb7b3512f3ed.mp4,2601951,push_press,True,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/push_press/fc319e88-4be0-467e-9dfd-cb7b3512f3ed.mp4
strict_press,"push_press,strict_press",fc319e88-4be0-467e-9dfd-cb7b3512f3ed.mp4,2601951,strict_press,True,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/strict_press/fc319e88-4be0-467e-9dfd-cb7b3512f3ed.mp4
push_press,"push_press,strict_press",shoulder press_21.mov,7523060,push_press,True,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/push_press/shoulder press_21.mov
strict_press,"push_press,strict_press",shoulder press_21.mov,7523060,strict_press,True,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/strict_press/shoulder press_21.mov
push_press,"push_press,strict_press",shoulder press_19.MOV,74479189,push_press,True,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/push_press/shoulder press_19.MOV
