feature,importance
wrist_y_delta,0.11262508954268907
elbow_mean,0.09915961434718126
last_overhead_pct,0.07812688744824174
elbow_std,0.06693987905054308
hip_mean,0.06510279003593944
hip_std,0.04671484712787164
knee_mean,0.03872780633128972
wrist_shoulder_distance_mean,0.03307546896498216
late_min_knee,0.027802007511840903
overhead_span_pct,0.027233739740276677
overhead_ratio,0.023583171721026634
knee_std,0.022759081565945003
wrist_shoulder_distance_delta,0.020044442368669847
wrist_y_mean,0.018703084236893156
wrist_shoulder_distance_std,0.017872303465544526
wrist_shoulder_distance_min,0.01621551720442121
knee_min,0.015553458737121483
min_knee_angle,0.014812677116899752
wrist_y_max,0.01402652786780982
elbow_max,0.013432201315506433
min_hip_angle,0.013208932882477355
first_overhead_pct,0.01287733712339624
min_hip_time_pct,0.012182084046831796
min_knee_time_pct,0.011629226767513844
hip_max,0.010676919343077088
wrist_y_std,0.010671446029060032
hip_min,0.01056935198503091
hip_y_min,0.010468643196816587
max_elbow_angle,0.010011538829475305
wrist_shoulder_distance_max,0.00953426508709313
hip_y_mean,0.009242947898136065
hip_y_std,0.0091310559803094
hip_delta,0.008767376803346046
early_min_knee,0.008642605597584148
mean_hip_motion,0.008481798737607533
elbow_min,0.008090264742922463
wrist_y_min,0.008057668748587139
max_wrist_motion,0.007889423270941836
knee_delta,0.007769525158073061
knee_max,0.007348841893963178
mean_wrist_motion,0.007209163022764326
hip_y_delta,0.006610458954131959
elbow_delta,0.005708968130617009
max_hip_motion,0.005389715027083932
hip_y_max,0.005298091751740618
overhead_near_bottom,0.001482363996112977
late_overhead_flag,0.0003667023724867756
has_overhead,0.00017268692212568928
reserved_77,0.0
reserved_74,0.0
reserved_75,0.0
reserved_64,0.0
reserved_78,0.0
reserved_76,0.0
reserved_73,0.0
reserved_72,0.0
reserved_71,0.0
reserved_70,0.0
reserved_69,0.0
reserved_68,0.0
reserved_67,0.0
reserved_66,0.0
reserved_65,0.0
shoulder_max,0.0
reserved_63,0.0
reserved_62,0.0
reserved_61,0.0
reserved_60,0.0
reserved_59,0.0
reserved_58,0.0
reserved_57,0.0
reserved_56,0.0
reserved_55,0.0
reserved_54,0.0
shoulder_delta,0.0
max_shoulder_angle,0.0
shoulder_mean,0.0
shoulder_std,0.0
shoulder_min,0.0
reserved_79,0.0
