feature,importance
wrist_y_delta,0.10623998642764308
elbow_mean,0.08636819311509916
elbow_std,0.07741969291230597
last_overhead_pct,0.07412198006303904
hip_std,0.05284333301574754
late_wrist_y_std,0.046535752744582194
hip_mean,0.04438972166876258
knee_mean,0.034599161676189365
knee_std,0.030449850186119707
wrist_shoulder_distance_mean,0.029216259572617163
overhead_span_pct,0.025297936373802205
late_min_knee,0.024432686484348543
overhead_ratio,0.021485878554172323
early_late_overhead_delta,0.021177515821233138
wrist_shoulder_distance_min,0.01560678359715066
hip_path_length,0.01498175309972329
wrist_y_max,0.013416121699938182
wrist_path_length,0.011619535015994546
wrist_y_mean,0.011232435495628131
wrist_shoulder_distance_delta,0.011044849039169063
min_knee_angle,0.010619895141207493
wrist_shoulder_distance_std,0.010023471102961147
knee_min,0.00985056073856157
early_min_knee,0.009238375760636214
hip_min,0.008964507815019923
elbow_max,0.008743033060718042
max_elbow_angle,0.008561834608703326
knee_velocity_mean,0.008518698189056016
min_hip_time_pct,0.008494815157507713
knee_max,0.007836741080071015
first_overhead_pct,0.007390785180605349
hip_max,0.007363964274355495
hip_delta,0.0073537754293242046
hip_vertical_range,0.007195643505417779
min_knee_time_pct,0.007056395177486824
elbow_min,0.006810323237788899
hip_y_mean,0.00639841816303748
knee_velocity_peak,0.00627187080137276
hip_y_min,0.0062537963406544125
wrist_velocity_mean,0.0060988107010570445
wrist_y_std,0.005986688219748681
bottom_to_overhead_time,0.005920145059896665
min_hip_angle,0.005717961789999875
elbow_delta,0.00539766086268107
hip_y_max,0.005204576632293714
mean_wrist_motion,0.0047342524568793135
hip_y_std,0.004728079868511859
knee_delta,0.004482786770542604
wrist_vertical_range,0.004392739034548963
hip_velocity_mean,0.004306345566322758
wrist_velocity_peak,0.004250601691599965
elbow_velocity_mean,0.0038742811169050722
wrist_shoulder_distance_max,0.0038366467731010163
max_wrist_motion,0.003605848878634995
mean_hip_motion,0.0035448874722672787
hip_y_delta,0.0033939604334479656
overhead_jitter,0.003358323882390512
wrist_y_min,0.003257519101637454
elbow_velocity_peak,0.002888871035283487
hip_velocity_peak,0.0024778153910352874
max_hip_motion,0.002418333547375988
overhead_near_bottom,0.0006965323860868118
has_overhead,1.3628965567500303e-18
late_overhead_flag,9.659683175376157e-19
shoulder_std,0.0
shoulder_mean,0.0
shoulder_min,0.0
shoulder_max,0.0
shoulder_delta,0.0
max_shoulder_angle,0.0
