feature,importance
wrist_y_delta,0.10505948009571746
elbow_mean,0.08364190844123744
elbow_std,0.07730586899344895
last_overhead_pct,0.075975294243323
hip_std,0.058642446266924574
late_wrist_y_std,0.051458868019360476
hip_mean,0.048484362416602464
knee_mean,0.036316584493926295
knee_std,0.02671201267044564
wrist_shoulder_distance_mean,0.025055738532227805
early_late_overhead_delta,0.023730193262634126
overhead_ratio,0.02200798407296054
late_min_knee,0.021380756015901375
overhead_span_pct,0.01721844385590286
wrist_y_max,0.017050522494844664
hip_path_length,0.015784788525488456
wrist_shoulder_distance_min,0.014106153994816552
wrist_shoulder_distance_delta,0.013683600813595492
knee_min,0.011585699538108613
early_min_knee,0.009418635548288605
wrist_y_mean,0.009281091538019644
wrist_shoulder_distance_std,0.009119805149309526
wrist_path_length,0.008896564930304898
min_knee_angle,0.008676878299021485
min_hip_time_pct,0.008404761963830928
hip_max,0.008329586041818831
wrist_y_std,0.00828473130621646
knee_velocity_mean,0.008021887382532844
hip_min,0.007419682563947976
min_hip_angle,0.007214097696809131
hip_y_min,0.00712190480870919
min_knee_time_pct,0.007069199980225435
knee_velocity_peak,0.007028386273090398
elbow_max,0.006959488890479172
max_elbow_angle,0.006854423528214639
wrist_velocity_mean,0.0068155906387232556
elbow_delta,0.0067558786776548965
bottom_to_overhead_time,0.006755532864241636
hip_delta,0.006698683563855268
first_overhead_pct,0.005929394360591551
hip_y_mean,0.005753971840750712
wrist_shoulder_distance_max,0.0054589794700050384
hip_velocity_mean,0.005449841608762342
overhead_jitter,0.004983986614726743
hip_y_max,0.0049565818404212845
knee_max,0.0048829437055116914
hip_y_delta,0.004829169842166459
elbow_velocity_mean,0.004527894290203279
knee_delta,0.004513656168299887
elbow_min,0.004459044035357006
hip_vertical_range,0.0043360054436551694
hip_y_std,0.004179650869148874
max_hip_motion,0.004170876234920798
mean_hip_motion,0.004150347335988612
wrist_vertical_range,0.0038695875005156136
wrist_y_min,0.0037998352136009187
mean_wrist_motion,0.0037597638749626563
max_wrist_motion,0.003633547982331132
wrist_velocity_peak,0.0034076995596608976
hip_velocity_peak,0.003319915482522614
elbow_velocity_peak,0.003300514969524063
overhead_near_bottom,0.0012564631803144652
late_overhead_flag,0.0004176539558264048
has_overhead,0.0003251562274708518
max_shoulder_angle,0.0
shoulder_delta,0.0
shoulder_mean,0.0
shoulder_max,0.0
shoulder_min,0.0
shoulder_std,0.0
