path,filename,reviewed_label,split_before_grouping,split,parent_group,parent_path
/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0009.mp4,clean_from_cj_0009.mp4,clean,train,train,g13,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/v_CleanAndJerk_g13_c04.avi
/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0084.mp4,clean_from_cj_0084.mp4,clean,train,dev,g05,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/v_CleanAndJerk_g05_c04.avi
/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0117.mp4,clean_from_cj_0117.mp4,clean,train,train,g25,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/CleanAndJerk/v_CleanAndJerk_g25_c04.avi
/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0144.mp4,clean_from_cj_0144.mp4,clean,dev,train,g18,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/CleanAndJerk/v_CleanAndJerk_g18_c02.avi
/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0220.mp4,clean_from_cj_0220.mp4,clean,test,train,g20,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/CleanAndJerk/v_CleanAndJerk_g20_c05.avi
/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0113.mp4,clean_from_cj_0113.mp4,clean,train,train,g12,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/CleanAndJerk/v_CleanAndJerk_g12_c02.avi
/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0068.mp4,clean_from_cj_0068.mp4,clean,dev,dev,g05,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/v_CleanAndJerk_g05_c03.avi
/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0104.mp4,clean_from_cj_0104.mp4,clean,train,test,g21,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/v_CleanAndJerk_g21_c03.avi
/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0177.mp4,clean_from_cj_0177.mp4,clean,dev,dev,g05,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/CleanAndJerk/v_CleanAndJerk_g05_c01.avi
/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0185.mp4,clean_from_cj_0185.mp4,clean,train,train,g22,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/CleanAndJerk/v_CleanAndJerk_g22_c01.avi
/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0055.mp4,clean_from_cj_0055.mp4,clean,train,dev,g19,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/v_CleanAndJerk_g19_c02.avi
/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0015.mp4,clean_from_cj_0015.mp4,clean,train,train,g25,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/v_CleanAndJerk_g25_c03.avi
/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0198.mp4,clean_from_cj_0198.mp4,clean,train,train,g06,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/CleanAndJerk/v_CleanAndJerk_g06_c03.avi
/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0025.mp4,clean_from_cj_0025.mp4,clean,train,train,g12,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/v_CleanAndJerk_g12_c06.avi
/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0030.mp4,clean_from_cj_0030.mp4,clean,train,train,g11,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/v_CleanAndJerk_g11_c01.avi
/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0045.mp4,clean_from_cj_0045.mp4,clean,train,dev,g10,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/v_CleanAndJerk_g10_c02.avi
/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0171.mp4,clean_from_cj_0171.mp4,clean,train,test,g14,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/CleanAndJerk/v_CleanAndJerk_g14_c05.avi
/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0082.mp4,clean_from_cj_0082.mp4,clean,train,train,g22,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/v_CleanAndJerk_g22_c03.avi
/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0207.mp4,clean_from_cj_0207.mp4,clean,train,train,g07,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/CleanAndJerk/v_CleanAndJerk_g07_c04.avi
/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0097.mp4,clean_from_cj_0097.mp4,clean,dev,dev,g17,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/v_CleanAndJerk_g17_c04.avi
/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0093.mp4,clean_from_cj_0093.mp4,clean,train,train,g20,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/v_CleanAndJerk_g20_c03.avi
/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0018.mp4,clean_from_cj_0018.mp4,clean,test,train,g12,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/v_CleanAndJerk_g12_c04.avi
/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0079.mp4,clean_from_cj_0079.mp4,clean,test,train,g22,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/v_CleanAndJerk_g22_c02.avi
/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0147.mp4,clean_from_cj_0147.mp4,clean,train,train,g18,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/CleanAndJerk/v_CleanAndJerk_g18_c03.avi
/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0143.mp4,clean_from_cj_0143.mp4,clean,train,dev,g10,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/CleanAndJerk/v_CleanAndJerk_g10_c04.avi
/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0196.mp4,clean_from_cj_0196.mp4,clean,train,test,g21,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/CleanAndJerk/v_CleanAndJerk_g21_c04.avi
/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0067.mp4,clean_from_cj_0067.mp4,clean,train,test,g15,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/v_CleanAndJerk_g15_c03.avi
/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0101.mp4,clean_from_cj_0101.mp4,clean,train,train,g20,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/v_CleanAndJerk_g20_c06.avi
/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0211.mp4,clean_from_cj_0211.mp4,clean,train,train,g06,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/CleanAndJerk/v_CleanAndJerk_g06_c04.avi
/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0069.mp4,clean_from_cj_0069.mp4,clean,train,test,g14,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/v_CleanAndJerk_g14_c06.avi
/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0016.mp4,clean_from_cj_0016.mp4,clean,train,train,g03,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/v_CleanAndJerk_g03_c01.avi
/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0189.mp4,clean_from_cj_0189.mp4,clean,train,test,g04,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/CleanAndJerk/v_CleanAndJerk_g04_c02.avi
/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0114.mp4,clean_from_cj_0114.mp4,clean,dev,train,g24,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/CleanAndJerk/v_CleanAndJerk_g24_c01.avi
/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0159.mp4,clean_from_cj_0159.mp4,clean,test,dev,g19,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/CleanAndJerk/v_CleanAndJerk_g19_c01.avi
/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0111.mp4,clean_from_cj_0111.mp4,clean,dev,train,g07,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/v_CleanAndJerk_g07_c02.avi
/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0075.mp4,clean_from_cj_0075.mp4,clean,train,test,g04,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/v_CleanAndJerk_g04_c03.avi
/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0140.mp4,clean_from_cj_0140.mp4,clean,train,train,g25,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/CleanAndJerk/v_CleanAndJerk_g25_c01.avi
/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0205.mp4,clean_from_cj_0205.mp4,clean,test,train,g16,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/CleanAndJerk/v_CleanAndJerk_g16_c01.avi
/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0183.mp4,clean_from_cj_0183.mp4,clean,test,test,g15,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/CleanAndJerk/v_CleanAndJerk_g15_c02.avi
/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0165.mp4,clean_from_cj_0165.mp4,clean,train,train,g09,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/CleanAndJerk/v_CleanAndJerk_g09_c02.avi
/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0073.mp4,clean_from_cj_0073.mp4,clean,test,test,g23,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/v_CleanAndJerk_g23_c04.avi
/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0119.mp4,clean_from_cj_0119.mp4,clean,train,train,g03,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/CleanAndJerk/v_CleanAndJerk_g03_c04.avi
/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/split_jerk/split_jerk_from_cj_0107.mp4,split_jerk_from_cj_0107.mp4,split_jerk,train,dev,g10,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/CleanAndJerk/v_CleanAndJerk_g10_c04.avi
/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/split_jerk/split_jerk_from_cj_0110.mp4,split_jerk_from_cj_0110.mp4,split_jerk,train,train,g11,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/CleanAndJerk/v_CleanAndJerk_g11_c02.avi
/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/split_jerk/split_jerk_from_cj_0144.mp4,split_jerk_from_cj_0144.mp4,split_jerk,train,test,g14,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/CleanAndJerk/v_CleanAndJerk_g14_c01.avi
/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/split_jerk/split_jerk_from_cj_0057.mp4,split_jerk_from_cj_0057.mp4,split_jerk,train,test,g04,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/v_CleanAndJerk_g04_c03.avi
/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/split_jerk/split_jerk_from_cj_0096.mp4,split_jerk_from_cj_0096.mp4,split_jerk,train,train,g12,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/CleanAndJerk/v_CleanAndJerk_g12_c04.avi
/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/split_jerk/split_jerk_from_cj_0031.mp4,split_jerk_from_cj_0031.mp4,split_jerk,train,train,g18,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/v_CleanAndJerk_g18_c01.avi
/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/split_jerk/split_jerk_from_cj_0103.mp4,split_jerk_from_cj_0103.mp4,split_jerk,test,train,g24,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/CleanAndJerk/v_CleanAndJerk_g24_c04.avi
/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/split_jerk/split_jerk_from_cj_0053.mp4,split_jerk_from_cj_0053.mp4,split_jerk,train,test,g14,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/v_CleanAndJerk_g14_c06.avi
/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/split_jerk/split_jerk_from_cj_0102.mp4,split_jerk_from_cj_0102.mp4,split_jerk,test,train,g12,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/CleanAndJerk/v_CleanAndJerk_g12_c06.avi
/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/split_jerk/split_jerk_from_cj_0145.mp4,split_jerk_from_cj_0145.mp4,split_jerk,train,train,g22,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/CleanAndJerk/v_CleanAndJerk_g22_c03.avi
/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/split_jerk/split_jerk_from_cj_0086.mp4,split_jerk_from_cj_0086.mp4,split_jerk,train,train,g25,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/CleanAndJerk/v_CleanAndJerk_g25_c04.avi
/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/split_jerk/split_jerk_from_cj_0017.mp4,split_jerk_from_cj_0017.mp4,split_jerk,train,train,g12,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/v_CleanAndJerk_g12_c05.avi
/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/split_jerk/split_jerk_from_cj_0068.mp4,split_jerk_from_cj_0068.mp4,split_jerk,train,train,g07,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/v_CleanAndJerk_g07_c05.avi
/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/split_jerk/split_jerk_from_cj_0032.mp4,split_jerk_from_cj_0032.mp4,split_jerk,train,dev,g19,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/v_CleanAndJerk_g19_c04.avi
/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/split_jerk/split_jerk_from_cj_0130.mp4,split_jerk_from_cj_0130.mp4,split_jerk,train,test,g04,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/CleanAndJerk/v_CleanAndJerk_g04_c04.avi
/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/split_jerk/split_jerk_from_cj_0150.mp4,split_jerk_from_cj_0150.mp4,split_jerk,train,train,g20,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/CleanAndJerk/v_CleanAndJerk_g20_c02.avi
/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/split_jerk/split_jerk_from_cj_0100.mp4,split_jerk_from_cj_0100.mp4,split_jerk,train,train,g03,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/CleanAndJerk/v_CleanAndJerk_g03_c02.avi
/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/split_jerk/split_jerk_from_cj_0018.mp4,split_jerk_from_cj_0018.mp4,split_jerk,train,train,g25,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/v_CleanAndJerk_g25_c02.avi
/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/split_jerk/split_jerk_from_cj_0077.mp4,split_jerk_from_cj_0077.mp4,split_jerk,train,train,g07,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/v_CleanAndJerk_g07_c03.avi
/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/split_jerk/split_jerk_from_cj_0020.mp4,split_jerk_from_cj_0020.mp4,split_jerk,train,train,g12,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/v_CleanAndJerk_g12_c07.avi
/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/split_jerk/split_jerk_from_cj_0014.mp4,split_jerk_from_cj_0014.mp4,split_jerk,train,train,g03,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/v_CleanAndJerk_g03_c01.avi
/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/split_jerk/split_jerk_from_cj_0011.mp4,split_jerk_from_cj_0011.mp4,split_jerk,train,train,g24,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/v_CleanAndJerk_g24_c02.avi
